"Hey, Soul Sister",Train,neo mellow,2010
Love The Way You Lie,Eminem,detroit hip hop,2010
TiK ToK,Kesha,dance pop,2010
Bad Romance,Lady Gaga,dance pop,2010
Just the Way You Are,Bruno Mars,pop,2010
Baby,Justin Bieber,canadian pop,2010
Dynamite,Taio Cruz,dance pop,2010
Secrets,OneRepublic,dance pop,2010
Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010
Only Girl (In The World),Rihanna,barbadian pop,2010
Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010
Marry You,Bruno Mars,pop,2010
Cooler Than Me - Single Mix,Mike Posner,dance pop,2010
Telephone,Lady Gaga,dance pop,2010
Like A G6,Far East Movement,dance pop,2010
OMG (feat. will.i.am),Usher,atl hip hop,2010
Eenie Meenie,Sean Kingston,dance pop,2010
The Time (Dirty Bit),The Black Eyed Peas,dance pop,2010
Alejandro,Lady Gaga,dance pop,2010
Your Love Is My Drug,Kesha,dance pop,2010
A Thousand Years,Christina Perri,dance pop,2011
Someone Like You,Adele,british soul,2011
Give Me Everything,Pitbull,dance pop,2011
Just the Way You Are,Bruno Mars,pop,2011
Rolling in the Deep,Adele,british soul,2011
Run the World (Girls),Beyonce,dance pop,2011
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,pop,2011
Love On Top,Beyonce,dance pop,2011
Grenade,Bruno Mars,pop,2011
Tonight Tonight,Hot Chelle Rae,dance pop,2011
Titanium (feat. Sia),David Guetta,dance pop,2012
Locked Out of Heaven,Bruno Mars,pop,2012
Paradise,Coldplay,permanent wave,2012
Payphone,Maroon 5,pop,2012
What Makes You Beautiful,One Direction,boy band,2012
I Knew You Were Trouble.,Taylor Swift,pop,2012
Call Me Maybe,Carly Rae Jepsen,canadian pop,2012
Love You Like A Love Song,Selena Gomez & The Scene,dance pop,2012
Set Fire to the Rain,Adele,british soul,2012
We Are Never Ever Getting Back Together,Taylor Swift,pop,2012
Underneath the Tree,Kelly Clarkson,dance pop,2013
Wake Me Up,Avicii,big room,2013
Story of My Life,One Direction,boy band,2013
Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,2013
Hall of Fame,The Script,celtic rock,2013
Roar,Katy Perry,dance pop,2013
We Can't Stop,Miley Cyrus,dance pop,2013
Don't You Worry Child - Radio Edit,Swedish House Mafia,big room,2013
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,2013
Wrecking Ball,Miley Cyrus,dance pop,2013
All of Me,John Legend,neo mellow,2014
Stay With Me,Sam Smith,pop,2014
Summer,Calvin Harris,dance pop,2014
"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop,2014
Rude,MAGIC!,pop,2014
Shake It Off,Taylor Swift,pop,2014
Dark Horse,Katy Perry,dance pop,2014
Hey Brother,Avicii,big room,2014
Maps,Maroon 5,pop,2014
Treasure,Bruno Mars,pop,2014
Thinking out Loud,Ed Sheeran,pop,2015
I'm Not The Only One,Sam Smith,pop,2015
The Hills,The Weeknd,canadian contemporary r&b,2015
Love Yourself,Justin Bieber,canadian pop,2015
Uptown Funk,Mark Ronson,dance pop,2015
Take Me To Church,Hozier,irish singer-songwriter,2015
Sugar,Maroon 5,pop,2015
Sorry,Justin Bieber,canadian pop,2015
FourFiveSeconds,Rihanna,barbadian pop,2015
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,2015
The Hills,The Weeknd,canadian contemporary r&b,2016
Love Yourself,Justin Bieber,canadian pop,2016
Cake By The Ocean,DNCE,dance pop,2016
Don't Let Me Down,The Chainsmokers,electropop,2016
In the Name of Love,Martin Garrix,big room,2016
Into You,Ariana Grande,dance pop,2016
This Is What You Came For,Calvin Harris,dance pop,2016
Million Reasons,Lady Gaga,dance pop,2016
Needed Me,Rihanna,barbadian pop,2016
7 Years,Lukas Graham,danish pop,2016
Shape of You,Ed Sheeran,pop,2017
Closer,The Chainsmokers,electropop,2017
Starboy,The Weeknd,canadian contemporary r&b,2017
Treat You Better,Shawn Mendes,canadian pop,2017
That's What I Like,Bruno Mars,pop,2017
Let Me Love You,DJ Snake,electronic trap,2017
I Feel It Coming,The Weeknd,canadian contemporary r&b,2017
Mercy,Shawn Mendes,canadian pop,2017
Side To Side,Ariana Grande,dance pop,2017
Stay,Zedd,complextro,2017
One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018
Havana (feat. Young Thug),Camila Cabello,dance pop,2018
I Like It,Cardi B,pop,2018
New Rules,Dua Lipa,dance pop,2018
There's Nothing Holdin' Me Back,Shawn Mendes,canadian pop,2018
no tears left to cry,Ariana Grande,dance pop,2018
IDGAF,Dua Lipa,dance pop,2018
In My Blood,Shawn Mendes,canadian pop,2018
Wolves,Selena Gomez,dance pop,2018
Dusk Till Dawn - Radio Edit,ZAYN,dance pop,2018
Memories,Maroon 5,pop,2019
Lose You To Love Me,Selena Gomez,dance pop,2019
Someone You Loved,Lewis Capaldi,pop,2019
Se駉rita,Shawn Mendes,canadian pop,2019
How Do You Sleep?,Sam Smith,pop,2019
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,pop,2019
Trampoline (with ZAYN),SHAED,electropop,2019
Happier,Marshmello,brostep,2019
Truth Hurts,Lizzo,escape room,2019
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,escape room,2019
